Abundance	Risk	cell
0.792174903722478	Low	CD274
0.123054356428197	Low	CD274
0.483838906826889	Low	CD274
0.369544113069655	Low	CD274
0.218272551065392	Low	CD274
0.551353620325127	Low	CD274
0.457520475511317	Low	CD274
0.176481495784755	Low	CD274
0.216049716030901	Low	CD274
0.110459906034269	Low	CD274
0.349653200167413	Low	CD274
1.01650638180681	Low	CD274
0.334717631242717	Low	CD274
0.210573367745299	Low	CD274
0.41444517475376	Low	CD274
0.637776026960385	Low	CD274
0.347728640359017	Low	CD274
0.165405047809759	Low	CD274
0.343013940678949	Low	CD274
0.515833647074298	Low	CD274
0.622505870198957	Low	CD274
0.631464983917198	Low	CD274
0.242163824373577	Low	CD274
1.55558166913023	Low	CD274
0.822915309025411	Low	CD274
0.251607071474224	Low	CD274
0.403034703334572	Low	CD274
0.250389072996298	Low	CD274
0.44775555408444	Low	CD274
0.137069360274196	Low	CD274
0.0916595500038343	Low	CD274
0.251094554856078	Low	CD274
0.237130702783621	Low	CD274
0.143589353351273	Low	CD274
0.162488903449637	Low	CD274
0.112124749050098	Low	CD274
0.169768897489705	Low	CD274
0.117087747492852	Low	CD274
0.267917404625008	Low	CD274
0.505690490875437	Low	CD274
0.333796404025359	Low	CD274
0.887469802751823	Low	CD274
2.55712418319272	Low	CD274
0.486684108236089	Low	CD274
0.323467769983325	Low	CD274
0.771942249296515	Low	CD274
0.268172116891539	Low	CD274
0.172179879815899	Low	CD274
0.331950309412687	Low	CD274
0.0922026471070516	Low	CD274
0.154624856415001	Low	CD274
0.411593531760022	Low	CD274
0.542446571799075	Low	CD274
0.227183127101598	Low	CD274
0.938314834622802	Low	CD274
0.440142759265419	Low	CD274
0.506383878167228	Low	CD274
0.369879097477869	Low	CD274
0.27636057349257	Low	CD274
0.340976882025094	Low	CD274
0.176580906077002	Low	CD274
0.774628112232902	Low	CD274
0.649635335884446	Low	CD274
0.304076123939239	Low	CD274
0.353410438301674	Low	CD274
0.202875020650575	Low	CD274
0.261833133333714	Low	CD274
0.71807858813778	Low	CD274
0.145436815174136	Low	CD274
0.247106885093766	Low	CD274
0.284002290499272	Low	CD274
1.208385873997	Low	CD274
0.137937040238498	Low	CD274
0.265023550342753	Low	CD274
0.693283662133401	Low	CD274
0.211139358939761	Low	CD274
0.818012586566443	Low	CD274
0.0500748706591299	Low	CD274
0.365291938397883	Low	CD274
0.130666482252704	Low	CD274
0.173996398186099	Low	CD274
0.715640023319409	Low	CD274
0.302504964104602	Low	CD274
0.188376421518221	Low	CD274
0.256974361646972	Low	CD274
0.462499369100943	Low	CD274
0.172715612904724	Low	CD274
0.144558595605733	Low	CD274
0.259748102279509	Low	CD274
0.440233930902296	Low	CD274
0.318952230922988	Low	CD274
0.244636512732487	Low	CD274
0.567255459704014	Low	CD274
0.214273776134459	Low	CD274
2.35734126055793	Low	CD274
0.390301190875746	Low	CD274
0.637355300618825	Low	CD274
0.388845906083361	Low	CD274
0.86257200845704	Low	CD274
0.252827771482966	Low	CD274
0.143725752450056	Low	CD274
0.301654976269791	Low	CD274
0.622945035049928	Low	CD274
0.53521502748607	Low	CD274
2.15613963737903	Low	CD274
0.645472583262592	Low	CD274
0.354252636035641	Low	CD274
0.141409224331634	Low	CD274
0.111778482317773	Low	CD274
0.280947164645687	Low	CD274
0.907654572648617	Low	CD274
0.112972709259196	Low	CD274
0.373041717375068	Low	CD274
0.275034307352628	Low	CD274
0.412882411188004	Low	CD274
0.400579327687925	Low	CD274
0.969349920171369	Low	CD274
0.146745493788315	Low	CD274
0.403844617711954	Low	CD274
0.25133044891011	Low	CD274
0.311115724356526	Low	CD274
0.659747016600929	Low	CD274
0.505031699315979	Low	CD274
0.477465638647174	Low	CD274
0.198054151098826	Low	CD274
0.366821029343787	Low	CD274
0.0672343964376165	Low	CD274
0.245795156356645	Low	CD274
0.747355313858762	Low	CD274
0.258863195596799	Low	CD274
0.304127601339613	Low	CD274
0.131948309736707	Low	CD274
0.485661830986038	Low	CD274
0.67773955167071	Low	CD274
0.190495968432122	Low	CD274
0.383908083826383	Low	CD274
0.500697840048612	Low	CD274
0.330329080289037	Low	CD274
0.149472725295504	Low	CD274
0.381316168160317	Low	CD274
0.134434807817956	Low	CD274
0.980703004094377	Low	CD274
0.446771368275323	Low	CD274
0.197968124432266	Low	CD274
0.436681396175352	Low	CD274
0.322530799856952	Low	CD274
0.0731295680116602	Low	CD274
0.636021263109665	Low	CD274
0.336738651969804	Low	CD274
0.248246704176423	Low	CD274
0.179531416975303	Low	CD274
0.602235717334509	Low	CD274
0.339493098467794	Low	CD274
0.669529279604922	Low	CD274
0.465910957093181	Low	CD274
0.237610028257751	Low	CD274
0.364103426706935	Low	CD274
0.279994363144637	Low	CD274
0.500214591836863	Low	CD274
0.318927881523332	Low	CD274
0.298186495829475	Low	CD274
0.237927369773827	Low	CD274
0.248668254105769	Low	CD274
0.153134480311593	Low	CD274
0.219502942354231	Low	CD274
0.492048250183468	Low	CD274
0.573811598100244	Low	CD274
0.25826822165768	Low	CD274
0.0913875194313427	Low	CD274
0.386716437541046	Low	CD274
1.8371390104974	Low	CD274
0.847943546902992	Low	CD274
0.287857149254356	Low	CD274
0.73074377067194	Low	CD274
0.281474912407411	Low	CD274
0.420575262783365	Low	CD274
0.123502201558708	Low	CD274
0.440993163712649	Low	CD274
0.526274960456256	Low	CD274
0.718276266730383	Low	CD274
0.519561227200919	Low	CD274
0.46233471068437	High	CD274
0.949199883029794	High	CD274
0.807400788655756	High	CD274
1.07695648328871	High	CD274
0.646453493987812	High	CD274
0.891765086174752	High	CD274
0.356451286346516	High	CD274
0.41133240091031	High	CD274
0.805048399479063	High	CD274
0.252559733021931	High	CD274
1.20269274798796	High	CD274
0.313360000409327	High	CD274
0.169308352900117	High	CD274
0.476959655664459	High	CD274
0.354659016480146	High	CD274
0.577855965210754	High	CD274
0.389132254788551	High	CD274
0.519948644999004	High	CD274
0.2431669931728	High	CD274
1.3202918274044	High	CD274
0.471895922089315	High	CD274
0.573558388206807	High	CD274
0.405532422722003	High	CD274
0.647894368083512	High	CD274
0.559560575533722	High	CD274
0.547338781016936	High	CD274
1.06943084756084	High	CD274
0.245024023794693	High	CD274
1.56067747260415	High	CD274
2.76640984556732	High	CD274
0.174821652309311	High	CD274
0.133673870007143	High	CD274
0.413768596294321	High	CD274
0.181269444114337	High	CD274
0.234632619979757	High	CD274
0.268088409116342	High	CD274
0.346536163137744	High	CD274
0.178677918000841	High	CD274
2.92622855150969	High	CD274
3.28387977454745	High	CD274
0.313099244759614	High	CD274
0.0945363061391965	High	CD274
0.633035576114112	High	CD274
0.156633806935663	High	CD274
0.132809715448975	High	CD274
0.274313786451435	High	CD274
0.374678517690348	High	CD274
2.02251338442714	High	CD274
0.467645589056729	High	CD274
0.214496362920004	High	CD274
0.762294594932353	High	CD274
0.482980927569258	High	CD274
0.75764963425154	High	CD274
0.300584171164759	High	CD274
0.275608666161088	High	CD274
0.249728204638645	High	CD274
0.195193082224817	High	CD274
0.277338171842111	High	CD274
0.166278002934596	High	CD274
0.140211970180272	High	CD274
0.313130792181739	High	CD274
0.127315700661044	High	CD274
0.165605234529005	High	CD274
1.09254498320332	High	CD274
0.528600267597994	High	CD274
0.442871068965219	High	CD274
0.438279909890716	High	CD274
0.463551757023977	High	CD274
0.832839407360444	High	CD274
0.0603803981172897	High	CD274
0.754062741384691	High	CD274
1.48666844961012	High	CD274
0.375722782574326	High	CD274
0.178767870076194	High	CD274
0.170950093615271	High	CD274
0.934365516903878	High	CD274
0.145446481490949	High	CD274
1.06682015797463	High	CD274
0.664487773230056	High	CD274
0.435267773072322	High	CD274
0.615622366834393	High	CD274
0.15567253273721	High	CD274
0.527555737238281	High	CD274
0.177552543421003	High	CD274
0.224558381358409	High	CD274
0.349853164357438	High	CD274
0.438686354621417	High	CD274
0.876498999048487	High	CD274
0.373588059769806	High	CD274
0.648692142189478	High	CD274
0.835500029950183	High	CD274
0.13016984543925	High	CD274
0.330032813095414	High	CD274
0.664014330474805	High	CD274
0.372657316058039	High	CD274
0.313088300499964	High	CD274
0.293632429339644	High	CD274
0.297458737890121	High	CD274
0.319199904466174	High	CD274
0.397719969622004	High	CD274
0.376360610996448	High	CD274
0.166661037733318	High	CD274
0.322059258231613	High	CD274
0.252699709073173	High	CD274
0.151358156524962	High	CD274
0.109249342117154	High	CD274
0.10355173876848	High	CD274
0.201527582004337	High	CD274
0.156671941345915	High	CD274
0.585432402237376	High	CD274
0.258647284896928	High	CD274
0.564420173717974	High	CD274
0.20245352583454	High	CD274
2.12418951337922	High	CD274
0.204120839507861	High	CD274
0.0614801053966169	High	CD274
0.304647088651646	High	CD274
0.173728940375173	High	CD274
0.413488094027939	High	CD274
0.144253480066683	High	CD274
0.748650208795091	High	CD274
0.462928580220857	High	CD274
0.94228704400053	High	CD274
0.426518996473627	High	CD274
0.188167438546304	High	CD274
0.382511263956585	High	CD274
0.65511157279628	High	CD274
