Cell1	Cell2	cor	p.value
Activated B cell	Activated B cell	1	0
Activated CD4 T cell	Activated B cell	0.586121061259183	7.22744399937468e-35
Activated CD8 T cell	Activated B cell	0.80997581022694	1.1187378523587e-85
Activated dendritic cell	Activated B cell	0.534043806519949	3.73563602357104e-28
CD56bright natural killer cell	Activated B cell	0.459650595511972	2.24288806942926e-20
CD56dim natural killer cell	Activated B cell	0.275969886467124	9.09543789900429e-08
Central memory CD4 T cell	Activated B cell	0.631672696966519	8.05556435332646e-42
Central memory CD8 T cell	Activated B cell	0.532036020232906	6.43218158965908e-28
Effector memeory CD4 T cell	Activated B cell	0.532071645080184	6.37066415687693e-28
Effector memeory CD8 T cell	Activated B cell	0.767539843381129	1.03040050250649e-71
Eosinophil	Activated B cell	0.32763544842902	1.57201123635149e-10
Gamma delta T cell	Activated B cell	0.498579772813826	3.29804170547914e-24
Immature  B cell	Activated B cell	0.876849920546556	7.19610211646636e-117
Immature dendritic cell	Activated B cell	0.393030124069803	7.39060707413195e-15
Macrophage	Activated B cell	0.729998278968646	1.22299344400879e-61
Mast cell	Activated B cell	0.677104663292509	5.12375155991471e-50
MDSC	Activated B cell	0.77523104720493	5.14726619482102e-74
Memory B cell	Activated B cell	0.195585429136409	0.000176955465894802
Monocyte	Activated B cell	0.522209332606118	8.72831120833442e-27
Natural killer cell	Activated B cell	0.602286212030059	3.30441668425629e-37
Natural killer T cell	Activated B cell	0.678551734553744	2.65571755828325e-50
Neutrophil	Activated B cell	0.349968966242196	6.74086228237222e-12
Plasmacytoid dendritic cell	Activated B cell	0.499646009440083	2.54820169238561e-24
Regulatory T cell	Activated B cell	0.724655053635466	2.42243814720514e-60
T follicular helper cell	Activated B cell	0.740504096606558	2.78471748506451e-64
Type 1 T helper cell	Activated B cell	0.804768310544303	8.80989421924406e-84
Type 17 T helper cell	Activated B cell	0.245181237647335	2.27221818711792e-06
Type 2 T helper cell	Activated B cell	0.484014478740747	1.02295399295825e-22
riskScore	Activated B cell	-0.0547739553264415	0.29798408005958
Activated B cell	Activated CD4 T cell	0.586121061259183	2.06704898382116e-32
Activated CD4 T cell	Activated CD4 T cell	1	0
Activated CD8 T cell	Activated CD4 T cell	0.561910966983795	1.34162194414655e-31
Activated dendritic cell	Activated CD4 T cell	0.557997502246623	4.27669729815512e-31
CD56bright natural killer cell	Activated CD4 T cell	0.24621084590949	2.0538088256681e-06
CD56dim natural killer cell	Activated CD4 T cell	0.185466968992835	0.00038187878084762
Central memory CD4 T cell	Activated CD4 T cell	0.629423063124721	1.89146647140249e-41
Central memory CD8 T cell	Activated CD4 T cell	0.445153038824561	4.54334201832548e-19
Effector memeory CD4 T cell	Activated CD4 T cell	0.507854526187023	3.39253919448832e-25
Effector memeory CD8 T cell	Activated CD4 T cell	0.484347646326551	9.47389825983042e-23
Eosinophil	Activated CD4 T cell	0.0666515804637352	0.205186565865376
Gamma delta T cell	Activated CD4 T cell	0.353539729983728	3.97886012795682e-12
Immature  B cell	Activated CD4 T cell	0.625715821095028	7.60483780094768e-41
Immature dendritic cell	Activated CD4 T cell	0.2932476865174	1.24461379617523e-08
Macrophage	Activated CD4 T cell	0.537424905581611	1.48377021085355e-28
