id	logFC	AveExpr	t	P.Value	adj.P.Val	B
Activated CD4 T cell	-0.0749653529557325	0.534697761714213	-8.73851876768618	8.73751622979825e-17	2.44650454434351e-15	27.0414223264533
Eosinophil	0.0314263309765626	0.261451410665869	5.61362383436642	3.93125559893578e-08	5.50375783851009e-07	7.48729414390274
Activated dendritic cell	-0.0275461109298905	0.595978177578455	-5.20671433504338	3.21945982210282e-07	3.00482916729597e-06	5.44920241182662
Type 2 T helper cell	-0.0235372667605216	0.507092668552002	-5.01305364307548	8.37739457100238e-07	5.86417619970167e-06	4.5255546036571
Central memory CD4 T cell	-0.0137784035698161	0.850875021812521	-3.60331121832477	0.000357822551603538	0.00190809308698283	-1.2483255847894
Effector memeory CD4 T cell	-0.0196643340691905	0.444483661874382	-3.56726683260136	0.00040887709006775	0.00190809308698283	-1.37319539997627
MDSC	-0.0315309619823383	0.69635565441587	-3.19943386602059	0.00149768669834751	0.00599074679339005	-2.58012702413868
Central memory CD8 T cell	-0.0103557679497756	0.706521834736902	-2.45088032795645	0.0147198191023513	0.0472839731746684	-4.64960530598663
Plasmacytoid dendritic cell	-0.00812715536334108	0.720628528306076	-2.43914630896558	0.0151984199490006	0.0472839731746684	-4.67784306841289
Regulatory T cell	-0.0220556562073025	0.530782983578226	-2.3392698576976	0.0198609673172964	0.05561070848843	-4.91287866143481
T follicular helper cell	-0.0123931506120887	0.525802179856012	-2.2933215409108	0.0223981388583976	0.0570134443668304	-5.0178053746998
Natural killer T cell	-0.00964347039020491	0.46804824125219	-2.08210478318065	0.0380300209343602	0.0887367155135072	-5.47406401213821
