id	logFC	AveExpr	t	P.Value	adj.P.Val	B
Activated CD4 T cell	-0.0749653529557325	0.534697761714213	-8.73851876768618	8.73751622979825e-17	2.44650454434351e-15	27.0414223264533
Eosinophil	0.0314263309765626	0.261451410665869	5.61362383436642	3.93125559893578e-08	5.50375783851009e-07	7.48729414390274
Activated dendritic cell	-0.0275461109298905	0.595978177578455	-5.20671433504338	3.21945982210282e-07	3.00482916729597e-06	5.44920241182662
Type 2 T helper cell	-0.0235372667605216	0.507092668552002	-5.01305364307548	8.37739457100238e-07	5.86417619970167e-06	4.5255546036571
Central memory CD4 T cell	-0.0137784035698161	0.850875021812521	-3.60331121832477	0.000357822551603538	0.00190809308698283	-1.2483255847894
Effector memeory CD4 T cell	-0.0196643340691905	0.444483661874382	-3.56726683260136	0.00040887709006775	0.00190809308698283	-1.37319539997627
MDSC	-0.0315309619823383	0.69635565441587	-3.19943386602059	0.00149768669834751	0.00599074679339005	-2.58012702413868
Central memory CD8 T cell	-0.0103557679497756	0.706521834736902	-2.45088032795645	0.0147198191023513	0.0472839731746684	-4.64960530598663
Plasmacytoid dendritic cell	-0.00812715536334108	0.720628528306076	-2.43914630896558	0.0151984199490006	0.0472839731746684	-4.67784306841289
Regulatory T cell	-0.0220556562073025	0.530782983578226	-2.3392698576976	0.0198609673172964	0.05561070848843	-4.91287866143481
T follicular helper cell	-0.0123931506120887	0.525802179856012	-2.2933215409108	0.0223981388583976	0.0570134443668304	-5.0178053746998
Natural killer T cell	-0.00964347039020491	0.46804824125219	-2.08210478318065	0.0380300209343602	0.0887367155135072	-5.47406401213821
Effector memeory CD8 T cell	0.0107587807495528	0.559239736621377	1.45392131073023	0.146828659291046	0.301406442975969	-6.57540892798415
CD56bright natural killer cell	0.00389657319313663	0.67694719241131	1.40593974943948	0.160593934564696	0.301406442975969	-6.64366443401445
Mast cell	0.0132372000914603	0.341479130555201	1.40300129285554	0.161467737308555	0.301406442975969	-6.64777088529247
Memory B cell	-0.00506898174737075	0.480998360594037	-1.02203579446568	0.30744184099752	0.491170898299184	-7.1079882653756
Immature dendritic cell	-0.00357074068850405	0.705003783802307	-1.00696408316953	0.314620071085158	0.491170898299184	-7.12324182912736
Monocyte	-0.00346435213551355	0.865498988896812	-0.990697926809329	0.322490341616118	0.491170898299184	-7.13945138997788
Type 17 T helper cell	-0.00402167420035016	0.382616266361684	-0.948983636670277	0.343257734583407	0.491170898299184	-7.17982031041541
Natural killer cell	0.0044871886452571	0.68515825981042	0.93416674329187	0.350836355927988	0.491170898299184	-7.19374350248681
Macrophage	-0.00619473697884027	0.444512383623409	-0.892827610133353	0.37253860241252	0.496718136550027	-7.23143616768118
Activated CD8 T cell	0.0076092683427168	0.683973422864998	0.855053229160735	0.39308338538018	0.50028794502932	-7.26439348077052
Immature  B cell	-0.0084217673474653	0.329544111249162	-0.744378959621458	0.457126898549435	0.534383009653403	-7.35278283875668
Gamma delta T cell	-0.00253141411264379	0.696176128099068	-0.73646410203216	0.461922051817082	0.534383009653403	-7.35863683092756
CD56dim natural killer cell	-0.0022864379591343	0.762835093501373	-0.711664677176982	0.477127687190539	0.534383009653403	-7.37657496204528
Type 1 T helper cell	0.00232934457530143	0.533961885522699	0.455075690064016	0.649325737459798	0.699273871110552	-7.52617807804602
Neutrophil	0.00205714976649313	0.296687868444927	0.230392269364031	0.817916226936481	0.848209420526721	-7.60318985347083
Activated B cell	0.000995472021061095	0.260161186913074	0.0685251248097748	0.945405197914015	0.945405197914015	-7.627390650777
