Abundance	risk	cell
0.453706903118782	Low	Activated B cell
0.22725913180977	Low	Activated B cell
0.288645138286432	Low	Activated B cell
0.214361570045378	Low	Activated B cell
0.331205628971507	Low	Activated B cell
0.536465900549065	Low	Activated B cell
0.284944138457183	Low	Activated B cell
0.378806601537295	Low	Activated B cell
0.402996420629759	Low	Activated B cell
0.270197967351414	Low	Activated B cell
0.191702061870844	Low	Activated B cell
0.345749336513056	Low	Activated B cell
0.334099295452649	Low	Activated B cell
0.116939994513471	Low	Activated B cell
0.337850660517476	Low	Activated B cell
0.383314658861392	Low	Activated B cell
0.145208098774499	Low	Activated B cell
0.128582206520919	Low	Activated B cell
0.368677737422293	Low	Activated B cell
0.206409585171898	Low	Activated B cell
0.349645269440933	Low	Activated B cell
0.208051274569699	Low	Activated B cell
0.00992623626253454	Low	Activated B cell
0.398317381612894	Low	Activated B cell
0.248955474123288	Low	Activated B cell
0.0205327826151787	Low	Activated B cell
0.229840503171694	Low	Activated B cell
0.190730147768707	Low	Activated B cell
0.292165398826467	Low	Activated B cell
0.231044808863567	Low	Activated B cell
0.238166485723351	Low	Activated B cell
0.117645454100094	Low	Activated B cell
0.122151105949941	Low	Activated B cell
0.0160643936026875	Low	Activated B cell
0.199576556370896	Low	Activated B cell
0.308729450049105	Low	Activated B cell
0.142986227944116	Low	Activated B cell
0.233474025133517	Low	Activated B cell
0.130247121098576	Low	Activated B cell
0.269224188727362	Low	Activated B cell
0.17779913798001	Low	Activated B cell
0.175880578042993	Low	Activated B cell
0.46317792268798	Low	Activated B cell
0.363563814359963	Low	Activated B cell
0.502061110893884	Low	Activated B cell
0.105437611212303	Low	Activated B cell
0.282628014276795	Low	Activated B cell
0.117774521442168	Low	Activated B cell
0.28933459940265	Low	Activated B cell
0.154775586255439	Low	Activated B cell
0.0484803465597231	Low	Activated B cell
0.101930847957101	Low	Activated B cell
0.358255472162496	Low	Activated B cell
0.142948253309304	Low	Activated B cell
0.327935951458208	Low	Activated B cell
0.0874129355807251	Low	Activated B cell
0.400290639238873	Low	Activated B cell
0.10945339761001	Low	Activated B cell
0.266965190784359	Low	Activated B cell
0.113923949624538	Low	Activated B cell
0.220483280424689	Low	Activated B cell
0.383102618793722	Low	Activated B cell
0.221994433009908	Low	Activated B cell
0.15637621909239	Low	Activated B cell
0.181478439127883	Low	Activated B cell
0.121412423698183	Low	Activated B cell
0.0503812518676487	Low	Activated B cell
0.358977524293678	Low	Activated B cell
0.237340039918521	Low	Activated B cell
0.51630051377661	Low	Activated B cell
0.262881173685417	Low	Activated B cell
0.685260868571566	Low	Activated B cell
0.29750241263969	Low	Activated B cell
0.29449190929283	Low	Activated B cell
0.248367087921793	Low	Activated B cell
0.0999388792123374	Low	Activated B cell
0.368164129810073	Low	Activated B cell
0.3543221768006	Low	Activated B cell
0.0227327726157348	Low	Activated B cell
0.214128443629621	Low	Activated B cell
0.17489260058145	Low	Activated B cell
0.578965731004094	Low	Activated B cell
0.336976165812486	Low	Activated B cell
0.469384076471032	Low	Activated B cell
0.150647927741658	Low	Activated B cell
0.499729169641967	Low	Activated B cell
0.296266980696165	Low	Activated B cell
0.515398537372812	Low	Activated B cell
0.371658771411996	Low	Activated B cell
0.182215924234035	Low	Activated B cell
0.410094413676066	Low	Activated B cell
0.0971713683026544	Low	Activated B cell
0.100005923519891	Low	Activated B cell
0.259811259602133	Low	Activated B cell
0.386549983883115	Low	Activated B cell
0.137560608860029	Low	Activated B cell
0.45156919781069	Low	Activated B cell
0.392430832156398	Low	Activated B cell
0.340619547723242	Low	Activated B cell
0.167826946426581	Low	Activated B cell
0.245147083053519	Low	Activated B cell
0.119842159909929	Low	Activated B cell
0.426812808078421	Low	Activated B cell
0.527270055405372	Low	Activated B cell
0.27678157012382	Low	Activated B cell
0.683641552524877	Low	Activated B cell
0.488346925222147	Low	Activated B cell
0.292898393335009	Low	Activated B cell
0.106050630621188	Low	Activated B cell
0.36029690230879	Low	Activated B cell
0.281089244535713	Low	Activated B cell
0.248386241587882	Low	Activated B cell
0.174236883534131	Low	Activated B cell
0.127115972962613	Low	Activated B cell
0.115119396019423	Low	Activated B cell
0.33479924130472	Low	Activated B cell
0.497125838815246	Low	Activated B cell
0.225486916979362	Low	Activated B cell
0.386541035029399	Low	Activated B cell
0.235598425705787	Low	Activated B cell
0.229989209224607	Low	Activated B cell
0.203835406898108	Low	Activated B cell
0.140515807676426	Low	Activated B cell
0.394088648562831	Low	Activated B cell
0.124921788430833	Low	Activated B cell
0.259537711211339	Low	Activated B cell
0.155113211486184	Low	Activated B cell
0.312958044132206	Low	Activated B cell
0.157791838234961	Low	Activated B cell
0.342499106665445	Low	Activated B cell
0.444000136767805	Low	Activated B cell
0.110117243708448	Low	Activated B cell
0.0792662022280475	Low	Activated B cell
0.373940026013345	Low	Activated B cell
0.131332152654429	Low	Activated B cell
0.297439344164693	Low	Activated B cell
0.363048597607218	Low	Activated B cell
0.38710442451831	Low	Activated B cell
0.31214238726142	Low	Activated B cell
0.370780586973879	Low	Activated B cell
0.0591124350571116	Low	Activated B cell
0.387081982341085	Low	Activated B cell
0.338166475516558	Low	Activated B cell
0.159216151087733	Low	Activated B cell
0.00413461667139084	Low	Activated B cell
