id	type
GSM1310651	Normal
GSM1310652	Normal
GSM1310653	Normal
GSM1310654	Normal
GSM1310655	Normal
GSM1310656	Normal
GSM1310657	Normal
GSM1310658	Normal
GSM1310659	Normal
GSM1310660	Normal
GSM1310661	Normal
GSM1310662	Normal
GSM1310663	Normal
GSM1310664	Normal
GSM1310665	Normal
GSM1310666	Normal
GSM1310667	Normal
GSM1310668	Normal
GSM1310669	Normal
GSM1310670	Normal
GSM1310671	Normal
GSM1310672	Normal
GSM1310673	Normal
GSM1310674	Normal
GSM1310675	Normal
GSM1310676	Normal
GSM1310677	Normal
GSM1310678	Normal
GSM1310679	Normal
GSM1310680	Normal
GSM1310681	Normal
GSM1310682	Normal
GSM1310683	Normal
GSM1310684	Normal
GSM1310685	Normal
GSM1310686	Normal
GSM1310687	Normal
GSM1310688	Normal
GSM1310689	Normal
GSM1310690	Normal
GSM1310691	Normal
GSM1310692	Normal
GSM1310693	Normal
GSM1310694	Normal
GSM1310695	Normal
GSM1310696	Normal
GSM1310697	Normal
GSM1310698	Normal
GSM1310699	Normal
GSM1310700	Normal
GSM1310701	Normal
GSM1310702	Normal
GSM1310703	Normal
GSM1310704	Normal
GSM1310705	Normal
GSM1310706	Normal
GSM1310707	Normal
GSM1310708	Normal
GSM1310709	Normal
GSM1310710	Normal
GSM1310711	Normal
GSM1310712	Normal
GSM1310713	Normal
GSM1310714	Normal
GSM1310715	Normal
GSM1310716	Normal
GSM1310717	Normal
GSM1310718	Normal
GSM1310719	Normal
GSM1310720	Normal
GSM1310721	Normal
GSM1310722	Normal
GSM1310723	Normal
GSM1310724	Normal
GSM1310725	Normal
GSM1310726	Normal
GSM1310727	Normal
GSM1310728	Normal
GSM1310729	Normal
GSM1310730	Normal
GSM1310570	Tumor
GSM1310571	Tumor
GSM1310572	Tumor
GSM1310573	Tumor
GSM1310574	Tumor
GSM1310575	Tumor
GSM1310576	Tumor
GSM1310577	Tumor
GSM1310578	Tumor
GSM1310579	Tumor
GSM1310580	Tumor
GSM1310581	Tumor
GSM1310582	Tumor
GSM1310583	Tumor
GSM1310584	Tumor
GSM1310585	Tumor
GSM1310586	Tumor
GSM1310587	Tumor
GSM1310588	Tumor
GSM1310589	Tumor
GSM1310590	Tumor
GSM1310591	Tumor
GSM1310592	Tumor
GSM1310593	Tumor
GSM1310594	Tumor
GSM1310595	Tumor
GSM1310596	Tumor
GSM1310597	Tumor
GSM1310598	Tumor
GSM1310599	Tumor
GSM1310600	Tumor
GSM1310601	Tumor
GSM1310602	Tumor
GSM1310603	Tumor
GSM1310604	Tumor
GSM1310605	Tumor
GSM1310606	Tumor
GSM1310607	Tumor
GSM1310608	Tumor
GSM1310609	Tumor
GSM1310610	Tumor
GSM1310611	Tumor
GSM1310612	Tumor
GSM1310613	Tumor
GSM1310614	Tumor
GSM1310615	Tumor
GSM1310616	Tumor
GSM1310617	Tumor
GSM1310618	Tumor
GSM1310619	Tumor
GSM1310620	Tumor
GSM1310621	Tumor
GSM1310622	Tumor
GSM1310623	Tumor
GSM1310624	Tumor
GSM1310625	Tumor
GSM1310626	Tumor
GSM1310627	Tumor
GSM1310628	Tumor
GSM1310629	Tumor
GSM1310630	Tumor
GSM1310631	Tumor
GSM1310632	Tumor
GSM1310633	Tumor
GSM1310634	Tumor
GSM1310635	Tumor
GSM1310636	Tumor
GSM1310637	Tumor
GSM1310638	Tumor
GSM1310639	Tumor
GSM1310640	Tumor
GSM1310641	Tumor
GSM1310642	Tumor
GSM1310643	Tumor
GSM1310644	Tumor
GSM1310645	Tumor
GSM1310646	Tumor
GSM1310647	Tumor
GSM1310648	Tumor
GSM1310649	Tumor
GSM1310650	Tumor
