Abundance	cluster	gene
6.826	Normal	TXNRD1
6.222	Normal	TXNRD1
6.71	Normal	TXNRD1
7.109	Normal	TXNRD1
6.646	Normal	TXNRD1
6.564	Normal	TXNRD1
6.689	Normal	TXNRD1
6	Normal	TXNRD1
5.825	Normal	TXNRD1
6.998	Normal	TXNRD1
5.987	Normal	TXNRD1
5.442	Normal	TXNRD1
6.164	Normal	TXNRD1
6.599	Normal	TXNRD1
6.442	Normal	TXNRD1
5.069	Normal	TXNRD1
6.728	Normal	TXNRD1
7.491	Normal	TXNRD1
6.807	Normal	TXNRD1
8.101	Normal	TXNRD1
7.039	Normal	TXNRD1
7.382	Normal	TXNRD1
8.663	Normal	TXNRD1
7.165	Normal	TXNRD1
6.923	Normal	TXNRD1
7.421	Normal	TXNRD1
7.036	Normal	TXNRD1
8.085	Normal	TXNRD1
7.026	Normal	TXNRD1
7.219	Normal	TXNRD1
7.122	Normal	TXNRD1
6.721	Normal	TXNRD1
6.275	Normal	TXNRD1
6.965	Normal	TXNRD1
5.528	Normal	TXNRD1
6.875	Normal	TXNRD1
6.99	Normal	TXNRD1
6.725	Normal	TXNRD1
6.656	Normal	TXNRD1
7.097	Normal	TXNRD1
5.619	Normal	TXNRD1
7.233	Normal	TXNRD1
6.718	Normal	TXNRD1
6.373	Normal	TXNRD1
5.137	Normal	TXNRD1
5.313	Normal	TXNRD1
5.743	Normal	TXNRD1
5.906	Normal	TXNRD1
5.39	Normal	TXNRD1
5.141	Normal	TXNRD1
3.689	Normal	TXNRD1
5.478	Normal	TXNRD1
6.079	Normal	TXNRD1
6.07	Normal	TXNRD1
5.693	Normal	TXNRD1
5.749	Normal	TXNRD1
6.176	Normal	TXNRD1
5.477	Normal	TXNRD1
6.351	Normal	TXNRD1
6.301	Normal	TXNRD1
5.995	Normal	TXNRD1
4.804	Normal	TXNRD1
5.702	Normal	TXNRD1
6.005	Normal	TXNRD1
5.256	Normal	TXNRD1
6.22	Normal	TXNRD1
5.556	Normal	TXNRD1
4.958	Normal	TXNRD1
5.171	Normal	TXNRD1
4.886	Normal	TXNRD1
5.357	Normal	TXNRD1
8.763	Normal	TXNRD1
5.542	Normal	TXNRD1
4.853	Normal	TXNRD1
6.36	Normal	TXNRD1
6.393	Normal	TXNRD1
5.471	Normal	TXNRD1
5.746	Normal	TXNRD1
6.186	Normal	TXNRD1
6.119	Normal	TXNRD1
7.235	Tumor	TXNRD1
6.014	Tumor	TXNRD1
7.652	Tumor	TXNRD1
9.478	Tumor	TXNRD1
8.61	Tumor	TXNRD1
9.196	Tumor	TXNRD1
6.906	Tumor	TXNRD1
6.636	Tumor	TXNRD1
7.049	Tumor	TXNRD1
