Abundance	cluster	gene
3.61256717656317	Normal	TXNRD1
2.59235321929063	Normal	TXNRD1
2.75571056530845	Normal	TXNRD1
2.64978443416427	Normal	TXNRD1
2.91193504607254	Normal	TXNRD1
2.31380482410007	Normal	TXNRD1
3.13605666063492	Normal	TXNRD1
3.17448408035055	Normal	TXNRD1
2.38235018463314	Normal	TXNRD1
2.6950432805337	Normal	TXNRD1
4.08158846406751	Normal	TXNRD1
3.1792022550097	Normal	TXNRD1
3.19911243126561	Normal	TXNRD1
3.04999853838473	Normal	TXNRD1
2.65356980160119	Normal	TXNRD1
3.0174498379497	Normal	TXNRD1
3.14761034924385	Normal	TXNRD1
2.7232068548633	Normal	TXNRD1
2.69143321740018	Normal	TXNRD1
3.30484261913245	Normal	TXNRD1
3.39568253156042	Normal	TXNRD1
2.6971181426869	Normal	TXNRD1
2.9764877351655	Normal	TXNRD1
2.88579982885991	Normal	TXNRD1
3.55980748292568	Normal	TXNRD1
2.32816607556919	Normal	TXNRD1
3.36314724231041	Normal	TXNRD1
2.52752930183036	Normal	TXNRD1
2.52251304918182	Normal	TXNRD1
2.31048205620655	Normal	TXNRD1
3.11707494946017	Normal	TXNRD1
2.47085881631426	Normal	TXNRD1
2.34807658162564	Normal	TXNRD1
2.49176973820805	Normal	TXNRD1
3.1251595958158	Normal	TXNRD1
3.04379278368349	Normal	TXNRD1
2.8577413883584	Normal	TXNRD1
3.71546401156371	Normal	TXNRD1
3.05290030514887	Normal	TXNRD1
2.55328308235887	Normal	TXNRD1
2.8272989510844	Normal	TXNRD1
3.02403664488445	Normal	TXNRD1
3.13886016662499	Normal	TXNRD1
2.98902616748692	Normal	TXNRD1
2.36742754213965	Normal	TXNRD1
2.60834064545476	Normal	TXNRD1
3.75558730667038	Normal	TXNRD1
2.27040813964517	Normal	TXNRD1
2.50211950364132	Normal	TXNRD1
2.50156347272522	Normal	TXNRD1
4.10082294485743	Tumor	TXNRD1
2.5984876481545	Tumor	TXNRD1
4.21485607259493	Tumor	TXNRD1
