Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CLEC4M	-2.38869885261016	0.401967856072195	-35.5642376828054	1.02654533991951e-128	3.80211862999389e-124	282.644954966058
CLEC1B	-2.05675881850742	0.376175558794585	-33.1977791831466	1.88935201425431e-119	3.49889099519756e-115	261.564975811447
CLEC4G	-4.29276883479891	0.967248594315395	-32.6912904180256	1.98928869194238e-117	2.45597581907206e-113	256.960172239098
STAB2	-1.55115095385895	0.324382301946225	-31.6596352103941	2.8875352950379e-113	2.67371330644034e-109	247.480478099134
BMPER	-1.14371940597016	0.25090244993955	-29.566699825732	1.18831626755606e-104	8.80257158354824e-101	227.844709880736
GDF2	-2.59339684336864	0.524484107241182	-28.1655769615209	9.21856895524379e-99	5.69062261607199e-95	214.409649250351
FCN2	-4.37751447223504	1.38209557433894	-25.7149932692171	3.02634665148728e-88	1.60128324682551e-84	190.403700794849
CRHBP	-3.5075683780745	1.10771230341325	-25.0937846744245	1.5327376000084e-85	7.09619190363887e-82	184.226748662915
MARCO	-4.02907638371399	1.24955406155161	-23.9098169302443	2.38134126875944e-80	9.80001310136801e-77	172.367042250473
PLVAP	3.05585268275437	4.88687285310476	23.5178072999454	1.27367454058468e-78	4.71743576341753e-75	168.418037560602
COLEC10	-2.92567152867656	1.0707266873338	-23.321797026092	9.34861996794741e-78	3.14776533066215e-74	166.439803289557
VIPR1	-1.55344977668702	0.586100952578674	-23.1622837052006	4.74199093465594e-77	1.46361550198156e-73	164.828213357926
NTF3	-1.01771850181527	0.343192688243649	-22.9581015631488	3.79791258933054e-76	1.0820545114125e-72	162.763209179044
INS-IGF2	-1.57191416953256	0.358510430543482	-21.7197792036154	1.19530336985382e-70	3.16226044376041e-67	150.196618999105
FCN3	-4.02234518084613	1.87038818564104	-21.1282313914084	5.14920410433465e-68	1.19197638510217e-64	144.174501339195
ANGPTL6	-1.93424072744147	1.33805719388334	-20.9199086666355	4.36672486428837e-67	9.51380914844192e-64	142.051944843096
CFP	-1.97815505385649	0.977245113146465	-20.8873946058194	6.09652343721015e-67	1.25446130592994e-63	141.720606539043
ADAMTS13	-1.55625155092756	1.17065295600516	-20.4701885517212	4.4164515332842e-65	8.60929115209369e-62	137.468074320643
PTH1R	-2.03496873341216	1.07692533539513	-19.4471170853607	1.60376450642842e-60	2.97001148945479e-57	127.041523279693
CXCL14	-3.15349850722346	1.11406074962099	-18.8564455572355	6.81682511827871e-58	1.14764349423094e-54	121.03128611164
TOMM40L	1.79270778861383	3.17090014032947	18.7429752512292	2.17706707772637e-57	3.50583523586214e-54	119.878155173585
OIT3	-2.57575291321225	2.49175709245616	-18.0465573941206	2.67067314628139e-54	3.80447661507577e-51	112.815272334954
CCL23	-1.02392521085171	0.552858867770066	-17.9339472804102	8.41113321913375e-54	1.15382056359361e-50	111.675994290925
