ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0140014	mitotic nuclear division	13/179	286/18866	3.59602833996938e-06	0.00626599822666746	0.00527585136216641	PDGFB/NCAPG/DUSP1/NEK2/PRC1/KIF11/BUB1B/UBE2S/NAA10/RAD21/CDC6/NUF2/HSPA1B	13
BP	GO:0019216	regulation of lipid metabolic process	16/179	431/18866	3.69893637937867e-06	0.00626599822666746	0.00527585136216641	PRKAB2/PDGFB/SOCS3/LPGAT1/PCK1/ID2/SREBF2/THRSP/LPCAT1/ANGPTL3/TXNRD1/PDK4/SOX9/ACSL1/CYP7A1/HPGD	16
BP	GO:0050673	epithelial cell proliferation	16/179	453/18866	6.94157767413218e-06	0.00783935505331994	0.00660058789364849	PDGFB/RIDA/CXCL12/APLN/EPHA2/ID2/CD34/LAMC1/ZFP36/FGL1/SOX9/ROBO1/BMPER/ESR1/NR4A1/THBS1	16
BP	GO:0001655	urogenital system development	13/179	330/18866	1.67164901266725e-05	0.00941030405962564	0.00792329708618203	PDGFB/RIDA/CYP26A1/ID2/CD34/CA2/NOTCH3/SOX9/BMPER/COL4A1/ESR1/DCN/HPGD	13
BP	GO:0071375	cellular response to peptide hormone stimulus	13/179	330/18866	1.67164901266725e-05	0.00941030405962564	0.00792329708618203	CRHBP/SHC1/FOXO1/SOCS3/OGT/PCK1/ATP6V1C1/CA2/CDC6/ADCY6/IGFBP1/PDK4/NR4A1	13
BP	GO:0072001	renal system development	12/179	292/18866	2.35068223842986e-05	0.00941030405962564	0.00792329708618203	PDGFB/RIDA/CYP26A1/ID2/CD34/CA2/NOTCH3/SOX9/BMPER/COL4A1/DCN/HPGD	12
BP	GO:0000070	mitotic sister chromatid segregation	9/179	161/18866	2.36210785771236e-05	0.00941030405962564	0.00792329708618203	NCAPG/DUSP1/NEK2/PRC1/BUB1B/NAA10/RAD21/CDC6/NUF2	9
BP	GO:0043434	response to peptide hormone	15/179	447/18866	2.46891049717175e-05	0.00941030405962564	0.00792329708618203	CRHBP/SHC1/FOXO1/SOCS3/CXCL12/OGT/PCK1/ATP6V1C1/INPPL1/CA2/CDC6/ADCY6/IGFBP1/PDK4/NR4A1	15
BP	GO:0007088	regulation of mitotic nuclear division	9/179	163/18866	2.6047245174391e-05	0.00941030405962564	0.00792329708618203	PDGFB/DUSP1/NEK2/KIF11/BUB1B/NAA10/RAD21/CDC6/HSPA1B	9
BP	GO:1901653	cellular response to peptide	14/179	398/18866	2.7775395689568e-05	0.00941030405962564	0.00792329708618203	CRHBP/SHC1/FOXO1/SOCS3/OGT/PCK1/ATP6V1C1/CA2/CDC6/ADCY6/IGFBP1/CDK5/PDK4/NR4A1	14
BP	GO:0001894	tissue homeostasis	11/179	261/18866	4.11563067850897e-05	0.0120943409348669	0.0101832050995741	TFRC/LYZ/STK39/CD34/SLC1A1/LAMC1/CA2/LPCAT1/PDK4/SOX9/JCHAIN	11
BP	GO:0060249	anatomical structure homeostasis	15/179	469/18866	4.28370989428579e-05	0.0120943409348669	0.0101832050995741	TFRC/LYZ/NEK2/STK39/CD34/CCT5/SLC1A1/LAMC1/CA2/LPCAT1/CDK5/PDK4/SOX9/CCT6A/JCHAIN	15
BP	GO:0048285	organelle fission	15/179	476/18866	5.06754903355625e-05	0.0132068124043758	0.011119884923836	PDGFB/NCAPG/DUSP1/NEK2/DHODH/PRC1/KIF11/BUB1B/UBE2S/NAA10/RAD21/CDC6/NUF2/HSPA1B/DCN	15
BP	GO:0051783	regulation of nuclear division	9/179	188/18866	7.92302324665354e-05	0.0179591182118111	0.0151212360510806	PDGFB/DUSP1/NEK2/KIF11/BUB1B/NAA10/RAD21/CDC6/HSPA1B	9
BP	GO:2001234	negative regulation of apoptotic signaling pathway	10/179	233/18866	7.95120345859407e-05	0.0179591182118111	0.0151212360510806	CXCL12/CTTN/PSMD10/SERPINE1/HSPA1B/VNN1/SLC35F6/CTNNA1/FGB/THBS1	10
BP	GO:0001822	kidney development	11/179	283/18866	8.51897668893927e-05	0.0180389331388289	0.0151884387019904	PDGFB/RIDA/CYP26A1/ID2/CD34/CA2/NOTCH3/SOX9/BMPER/DCN/HPGD	11
BP	GO:0000819	sister chromatid segregation	9/179	196/18866	0.000108945183685716	0.0193509459551681	0.0162931285461087	NCAPG/DUSP1/NEK2/PRC1/BUB1B/NAA10/RAD21/CDC6/NUF2	9
BP	GO:0030195	negative regulation of blood coagulation	5/179	50/18866	0.000109015801537123	0.0193509459551681	0.0162931285461087	PDGFB/CD34/SERPINE1/FGB/THBS1	5
BP	GO:0062012	regulation of small molecule metabolic process	14/179	456/18866	0.000119353402475063	0.0193509459551681	0.0162931285461087	PRKAB2/PDGFB/BHMT/FOXO1/OGT/LPGAT1/PPP1R3B/SREBF2/PSMD10/NUP210/PDK4/SOX9/CYP7A1/HPGD	14
BP	GO:1900047	negative regulation of hemostasis	5/179	51/18866	0.000119943879887405	0.0193509459551681	0.0162931285461087	PDGFB/CD34/SERPINE1/FGB/THBS1	5
BP	GO:1902893	regulation of pri-miRNA transcription by RNA polymerase II	5/179	51/18866	0.000119943879887405	0.0193509459551681	0.0162931285461087	PDGFB/FOS/APLN/SREBF2/SOX9	5
BP	GO:0033598	mammary gland epithelial cell proliferation	4/179	28/18866	0.0001342743861969	0.0206782554743226	0.0174106979231387	EPHA2/ID2/ROBO1/ESR1	4
BP	GO:0061614	pri-miRNA transcription by RNA polymerase II	5/179	53/18866	0.000144302137761246	0.0211218824148485	0.0177842233717267	PDGFB/FOS/APLN/SREBF2/SOX9	5
BP	GO:0034502	protein localization to chromosome	6/179	85/18866	0.0001577473450034	0.0211218824148485	0.0177842233717267	EZH2/CENPA/CCT5/RAD21/CCT6A/ESR1	6
