SYMBOLID	ENTREZID
TFRC	7037
CRHBP	1393
PRKAB2	5565
SCAMP3	10067
DDIT3	1649
RFX5	5993
PDGFB	5155
NCAPG	64151
MRPL13	28998
C7	730
HMGXB3	22993
LYZ	4069
BHMT	635
EZH2	2146
ZNF251	90987
FLVCR1	28982
NSUN5	55695
DUSP1	1843
FOS	2353
FAM222A	84915
CENPA	1058
RIDA	10247
NTF3	4908
TARBP1	6894
SPSB2	84727
RABIF	5877
NEK2	4751
PSKH1	5681
UGT2B15	7366
ATXN2L	11273
UQCRB	7381
SHC1	6464
STK39	27347
FOXO1	2308
SOCS3	9021
THEM6	51337
SLC38A2	54407
ARPC5	10092
DRAP1	10589
SH3BP5L	80851
CXCL12	6387
OGT	8473
MBL2	4153
DTL	51514
LENG8	114823
E2F1	1869
IGF2BP2	10644
APLN	8862
DHODH	1723
PRC1	9055
LPGAT1	9926
PEG10	23089
SLC12A7	10723
ATXN7L3	56970
GOLPH3L	55204
PPP1R3B	79660
EPHA2	1969
PCK1	5105
ATP6V1C1	528
PRG4	10216
CYP26A1	1592
ALDH6A1	4329
ID2	3398
KIF11	3832
CD34	947
SREBF2	6721
ENAH	55740
CTTN	2017
ALS2CL	259173
CCT5	22948
CAP2	10486
TTC9	23508
SPC24	147841
INPPL1	3636
BUB1B	701
RGS5	8490
SCARA3	51435
ACOT12	134526
KMO	8564
DNAJB11	51726
PSMD10	5716
SLC1A1	6505
TBC1D16	125058
MFAP3L	9848
DENND4B	9909
UBE2S	27338
TMEM45B	120224
MAST3	23031
LAMC1	3915
LMNB2	84823
TMEM220	388335
UBE2Q1	55585
ZIC2	7546
CA2	760
HS3ST3B1	9953
BCKDHB	594
AGPAT1	10554
NAA10	8260
THRSP	7069
SERPINE1	5054
NUP210	23225
SOX13	9580
GNE	10020
RPN2	6185
ADH4	127
RAD21	5885
CDC6	990
NPLOC4	55666
CPEB3	22849
LPCAT1	79888
C17orf58	284018
NUF2	83540
PBK	55872
TEAD2	8463
ANGPTL3	27329
GRAMD1A	57655
PLPPR2	64748
C1orf198	84886
PRUNE1	58497
ADCY6	112
ANKRD52	283373
HSPA1B	3304
ZFP36	7538
IPO9	55705
MPC1	51660
PHLDA1	22822
IGFBP1	3484
SEMA6C	10500
TAP1	6890
GOLGA8B	440270
NOTCH3	4854
STIP1	10963
CD163	9332
CDK5	1020
MAFG	4097
MCM6	4175
FGL1	2267
WASF2	10163
TXNRD1	7296
KBTBD11	9920
PDK4	5166
SOX9	6662
ACSL1	2180
ACSL4	2182
HLA-A	3105
RRAGD	58528
NECAB3	63941
TMEM184B	25829
MANF	7873
CCT6A	908
VNN1	8876
SLC35F6	54978
GDI1	2664
ROBO1	6091
JCHAIN	3512
GYS2	2998
EPB41L4B	54566
ESM1	11082
FAM20B	9917
CYP7A1	1581
MTHFD1L	25902
CTNNA1	1495
LYVE1	10894
STEAP4	79689
TOMM20	9804
CNDP1	84735
BMPER	168667
NPY1R	4886
LIFR	3977
OCRL	4952
ATP1B3	483
COL4A1	1282
MARK4	57787
CBX4	8535
CBX3	11335
TBCC	6903
ESR1	2099
NR4A1	3164
MAVS	57506
B4GALT3	8703
SLC2A2	6514
CXCL2	2920
ALDH2	217
FGB	2244
KLF13	51621
DCN	1634
TRNP1	388610
HPGD	3248
THBS1	7057
