Abundance	risk	cell
0.0700724939591605	Low	aDC
3.90537054774027e-18	Low	aDC
6.1357264355612e-18	Low	aDC
1.26908042858862e-17	Low	aDC
0.11482385698244	Low	aDC
0.172577353622333	Low	aDC
0.00898743017846839	Low	aDC
0.0569108277737812	Low	aDC
0.145024250916207	Low	aDC
1.33079521016405e-05	Low	aDC
0.0372775944325081	Low	aDC
0.0775857978976514	Low	aDC
0.0318578989822661	Low	aDC
3.83783495669478e-19	Low	aDC
0.0820751643076266	Low	aDC
0.0883090242191351	Low	aDC
0.0335416027633963	Low	aDC
0.0620161081753206	Low	aDC
0	Low	aDC
0.0574037923177668	Low	aDC
0.0746537513704593	Low	aDC
0.0312430404819297	Low	aDC
7.15682371977325e-18	Low	aDC
0.217922244993108	Low	aDC
0.126504701263294	Low	aDC
0	Low	aDC
0.0117499340757805	Low	aDC
0.0175119852326857	Low	aDC
0.0336562023394663	Low	aDC
0.0315834159774971	Low	aDC
0.120231671191206	Low	aDC
0	Low	aDC
2.17299205940316e-19	Low	aDC
5.4886710017984e-18	Low	aDC
0	Low	aDC
0.0615433050462161	Low	aDC
0.0478837607947862	Low	aDC
0.098927072264221	Low	aDC
0	Low	aDC
0.0155980070686885	Low	aDC
3.52790261981877e-18	Low	aDC
0	Low	aDC
0.127282994512176	Low	aDC
0.0825505988903533	Low	aDC
0.111185321364204	Low	aDC
7.19315459345374e-19	Low	aDC
0.0439877006627487	Low	aDC
0	Low	aDC
0	Low	aDC
1.17165388259165e-19	Low	aDC
1.2709162715843e-17	Low	aDC
1.37862830222882e-19	Low	aDC
0.0476155598496865	Low	aDC
0	Low	aDC
0.101172816860787	Low	aDC
9.04451841262733e-19	Low	aDC
0.124237487981994	Low	aDC
0	Low	aDC
3.74883666434266e-19	Low	aDC
0.103508396025713	Low	aDC
3.80673823137415e-19	Low	aDC
0.10300920194308	Low	aDC
2.52603766674698e-19	Low	aDC
0.0304874917944104	Low	aDC
2.52886764757798e-19	Low	aDC
0	Low	aDC
4.87752922587145e-18	Low	aDC
0.128649415272136	Low	aDC
0.0231480928554932	Low	aDC
0.15497653356991	Low	aDC
0.00320072877910373	Low	aDC
